,Field_Name,Field_Alias,Field_Type,Field_Length,Field_Domain,Description,Source,Public
46,Ped_Improve_ProjectID,Pedestrian Improvements - ProjectID,String,50,,,,
47,Ped_Immprove_Extents,Pedestrian Improvements - Extents,String,80,,,,
48,FID_Ped_Add_temp,Pedestrian Additions - FID,Integer,4,,,,
49,Ped_Add_Project_ID,Pedestrian Additions - ProjectID,String,50,,,,
50,Fac_Name_BE,Facility Name (Bike Existing),String,80,,,,
51,Fac_Desc_BE,Facility Description (Bike Existing),String,83,,,,
52,Fac_Type_BE,Facility Type (Bike Existing),String,50,,,,
53,Fac_Name_BP,Facility Name (Bike Proposed),String,80,,,,
54,Fac_Desc_BP,Facility Description (Bike Proposed),String,83,,,,
55,Fac_Name_BR,Facility Name (Bike ReDev),String,80,,,,
56,Fac_Desc_BR,Facitlity Description (Bike ReDev),String,83,,,,
57,Fac_Type_BR,Facility Type (Bike ReDev),String,50,,,,
58,TCAD_OID_2020,2020 TCAD OID,Integer,4,,,,
59,AB_SPEED,2020 TCAD Forward Expanded Speed Classification(From A To B Node),Integer,4,,,,
60,BA_SPEED,2020 TCAD Reverse Expanded Speed Classification,Integer,4,,,,
61,AB_CAPACIT,2020 TCAD Forward Expanded Capacity Classification,Integer,4,,,,
62,BA_CAPACIT,2020 TCAD Reverse Expanded Capacity Classification,Integer,4,,,,
63,AB_LANE,2020 TCAD Ab_Lane,Integer,4,,,,
64,BA_LANE,2020 TCAD Ba_Lane,Integer,4,,,,
65,AB_CNT,2020 TCAD AB_CNT,Integer,4,,,,
66,BA_CNT,2020 TCAD BA_CNT,Integer,4,,,,
67,AB_FACTYPE,2020 TCAD Forward Direction Facility Type ,Integer,4,,,,
68,BA_FACTYPE,2020 TCAD Reverse Direction Facility Type ,Integer,4,,,,
69,AB_FNCLASS,2020 TCAD 2005 Federal Functional Class,Integer,4,,,,
70,BA_FNCLASS,2020 TCAD 2005 Federal Functional Class,Integer,4,,,,
71,TOT_FLOW_D,2020 TCAD Total Daily Auto Flow Both Directions,Double,8,,,,
72,max_row_2020,2020 Est MAX ROW,Double,8,,,,
73,min_row_2020,2020 Est MIN ROW,Double,8,,,,
74,mean_row_2020,2020 Est MEAN ROW,Double,8,,,,
75,f_class,1986 Functional Class,String,255,,,,
76,fedaid_id,1986 Federal Aid ID,String,255,,,,
77,TCAD_OID_2040,2040 TCAD OID,Integer,4,,,,
78,AB_VOC_MAX,2040 Max Voc Along A To B Of 5 Time Periods,Double,8,,,,
79,BA_VOC_MAX,2040 TCAD Max Voc Along B To A Of 5 Time Periods,Double,8,,,,
80,FACTYPE,HPMS - Facility Type Code,Integer,4,,,,
81,ATYPE,2040 Area Type,Integer,4,,,,
82,TPN_OID,Transit Priority Network OID,Integer,4,,,,
83,FULLNAME_1,Transit Priority Network FULLNAME,String,50,,,,
84,Tier,Transit Priority Network Tier,Integer,4,,,,
85,NewTier,Transit Priority Network NewTier,Integer,4,,,,
86,BE_OID_tmp,Bike Existing - ObjectID,SmallInteger,2,,,,
87,BP_OID_tmp,Bike Proposed - ObjectID,SmallInteger,2,,,,
88,BR_OID_tmp,Bike Redevelopment - ObjectID,SmallInteger,2,,,,
89,PED_ADD_OID_tmp,PED_ADD_OID_tmp,SmallInteger,2,,,,
90,PED_IMPR_OID_tmp,PED_IMPR_OID_tmp,SmallInteger,2,,,,
91,Shape_Length,Shape_Length,Double,8,,,,
92,ln_exist_num,1986 Existing Lanes (num),SmallInteger,2,,,,
93,ln_prop_num,1986 Proposed Lanes (num),SmallInteger,2,,,,
94,row_exist_num,1986 Existing ROW (num),SmallInteger,2,,,,
95,row_prop_num,1986 Proposed ROW (num),SmallInteger,2,,,,
96,modal_width_ped_exist,Modal Width - Ped (Existing),SmallInteger,2,,,,
97,modal_width_ped_prop,Modal Width - Ped (Unconstrained),SmallInteger,2,,,,
98,modal_width_bike_exist,Modal Width - Bike (Existing),SmallInteger,2,,,,
99,modal_width_bike_prop,Modal Width - Bike (Unconstrained),SmallInteger,2,,,,
100,modal_width_auto_exist,Modal Width - Auto (Existing),SmallInteger,2,,,,
101,modal_width_auto_prop,Modal Width - Auto (Unconstrained),SmallInteger,2,,,,
102,modal_width_bus_exist,Modal Width - Bus (Existing),SmallInteger,2,,,,
103,modal_width_bus_prop,Modal Width - Bus (Proposed),SmallInteger,2,,,,
104,modal_width_park_exist,Modal Width - Parking (Existing),SmallInteger,2,,,,
105,modal_width_park_prop,Modal Width - Parking (Proposed),SmallInteger,2,,,,
106,modal_width_medians,Modal Width - Medians,SmallInteger,2,,,,
107,modal_width_max,Modal Width - Total Unconstrained,SmallInteger,2,,,,
108,Fac_Type_BP,Facility Type (Bike Proposed),String,50,,,,
109,lanes_assumed,Lanes (assumed),SmallInteger,2,,,,
110,VOC_max,VOC (max),Double,8,,,,
111,median_type,Median Type,String,50,,,,
112,median_width,Median Width,String,50,,,,
113,progression,Progression,String,255,,,,
114,CS_example_num,Complete Streets - Example Number,SmallInteger,2,,,,
115,CS_example_type,Complete Streets - Example Type,String,30,,,,
116,CS_type,Complete Streets - Type,String,30,,,,
117,length_urban_percent,Urban % by length,Single,4,,,,
118,length_urban,length_urban,Double,8,,,,
119,length_ag,length_ag,Double,8,,,,
120,length_ag_percent,Ag % by length,Single,4,,,,
121,length_ft,Length (ft.),Single,4,,,,
122,mean_row_area,ROW Area Estimate (sq. ft.),Single,4,,,,
123,modal_area_max,Area - Unconstrained (sq. ft.),Single,4,,,,
124,modal_area_diff,Unconstrained Modal Area Exceedence (sq. ft.),Single,4,,,,
125,route_id,HPMS - Route Number,String,12,,,,
126,aadt,"HPMS - Annual Average Daily Traffic, Two Directions",Integer,4,,,,
127,funsystem,HPMS - Functional System Code,SmallInteger,2,,,,
128,funsysdesc,HPMS - Functional System Code Description,String,45,,,,
129,factypedes,HPMS - Facility Type Code Description,String,15,,,,
130,thrulanes,"HPMS - Number of Through Lanes, Two Directions",SmallInteger,2,,,,
131,SPEED,SPEED,SmallInteger,2,,,,
132,SPD_LIMIT,Speed Limit (HERE),SmallInteger,2,,,,
133,MIN_SPD_LIMIT,Speed Limit (HERE - low),Double,8,,,,
134,MAX_SPD_LIMIT,Speed Limit (HERE - high),Double,8,,,,
135,LandValue,Land Value ($USD),Single,4,,,,
136,modal_width_ped_const,Modal Width - Ped (Constrained),SmallInteger,2,,,,
137,modal_width_bike_const,Modal Width - Bike (Constrained),SmallInteger,2,,,,
138,modal_width_auto_const,Modal Width - Auto (Constrained),SmallInteger,2,,,,
139,modal_width_bus_const,Modal Width - Bus (Constrained),SmallInteger,2,,,,
140,modal_width_park_const,Modal Width - Parking (Constrained),SmallInteger,2,,,,
141,modal_width_medians_const,Modal Width - Medians (Constrained),SmallInteger,2,,,,
142,modal_width_const,Modal Width - Total Constrained,SmallInteger,2,,,,
143,modal_area_const,Area - Constrained (sq. ft.),Single,4,,,,
144,modal_area_diff_const,Modal Area - Total Constrained Exceedence (sq. ft.),Single,4,,,,
145,bike_parallel_route,Bike - Evaluate Parallel Routes,SmallInteger,2,,,,
146,lane_count_rev,Transit Lanes - Proposed (Constrained),SmallInteger,2,,,,
147,cs_type_revise,Complete Street Type - Re-Evaluate,SmallInteger,2,,,,
148,modal_width_auto_rule,Modal Width - Auto (Logic QC),String,255,,,,
149,modal_width_ped_furn,Modal Width - Ped (Furn),SmallInteger,2,,,,
150,row_estimate_note,ROW Estimation Note,String,255,,,,
151,lane_count,Transit Lanes - Existing,SmallInteger,2,,,,
152,lane_count_prop,Transit Lanes - Proposed (Unconstrained),SmallInteger,2,,,,
153,lane_miles,Transit Lane Miles - Existing,Single,4,,,,
154,lane_miles_prop,Transit Lane Miles - Proposed (Unconstrained),Single,4,,,,
155,lane_miles_rev,Transit Lane Miles - Proposed (Constrained),Single,4,,,,
156,lane_count_note,Transit Lanes - Note,String,255,,,,
157,MEDIAN_SUM_LANES,MEDIAN_SUM_LANES,Double,8,,,,
158,lane_count_exist,Transit Lanes - Existing,SmallInteger,2,,,,
159,lane_miles_exist,Transit Lane Miles - Existing,Single,4,,,,
160,lane_miles_const,Transit Lane Miles - Proposed (Constrained),Single,4,,,,
161,modal_area_ped_exist,Modal Area - Ped (Existing),Single,4,,,,
162,modal_area_ped_prop,Modal Area - Ped (Unconstrained),Single,4,,,,
163,modal_area_ped_const,Modal Area - Ped (Constrained),Single,4,,,,
164,modal_area_bike_exist,Modal Area - Bike (Existing),Single,4,,,,
165,modal_area_bike_prop,Modal Area - Bike (Unconstrained),Single,4,,,,
166,modal_area_bike_const,Modal Area - Bike (Constrained),Single,4,,,,
167,modal_area_auto_exist,Modal Area - Auto (Existing),Single,4,,,,
168,modal_area_auto_prop,Modal Area - Auto (Unconstrained),Single,4,,,,
169,modal_area_auto_const,Modal Area - Auto (Constrained),Single,4,,,,
170,modal_area_bus_exist,Modal Area - Bus (Existing),Single,4,,,,
171,modal_area_bus_prop,Modal Area - Bus (Unconstrained),Single,4,,,,
172,modal_area_bus_const,Modal Area - Bus (Constrained),Single,4,,,,
173,modal_area_park_exist,Modal Area - Parking (Existing),Single,4,,,,
174,modal_area_park_prop,Modal Area - Parking (Unconstrained),Single,4,,,,
175,modal_area_park_const,Modal Area - Parking (Constrained),Single,4,,,,
176,modal_width_medians_exist,Modal Width - Medians (Existing),SmallInteger,2,,,,
177,modal_area_medians_exist,Modal Area - Medians (Existing),Single,4,,,,
178,modal_area_medians_prop,Modal Area - Medians (Unconstrained),Single,4,,,,
179,modal_area_medians_const,Modal Area - Medians (Constrained),Single,4,,,,
180,modal_width_exist,Modal Width - Total Existing,SmallInteger,2,,,,
181,modal_width_max_desc,Unconstrained Description,String,255,,,,
182,modal_width_const_desc,Constrained Description,String,255,,,,
183,modal_width_medians_prop,Modal Width - Medians (Proposed),SmallInteger,2,,,,
184,modal_width_max_diff,Modal Width - Unconstrained Shortage,SmallInteger,2,,,,
185,modal_width_const_diff,Modal Width - Constrained Shortage,SmallInteger,2,,,,
186,modal_area_max_diff,Modal Area - Unconstrained Shortage (sq. ft.),Single,4,,,,
187,modal_area_const_diff,Modal Area - Unconstrained Shortage (sq. ft.),Single,4,,,,
188,row_width_future,ROW Width Future (greater of estimate & 1986 proposed),Single,4,,,,
189,ej_length,Economic Justice length (ft),Double,8,,,,
190,ej_percent,Economic Justice %,Single,4,,,,
191,SLR_length,Sea Level Rise Exposure length (ft),Double,8,,,,
192,SLR_percent,Sea Leve Rise Exposure %,Single,4,,,,
